"","#wt","#mut","pvalue","p_adj"
"CKMT1B",36,0,1.90657774793662e-06,6.25157872421652e-05
"CKMT1A",36,0,1.90657774793662e-06,6.25157872421652e-05
"PDE9A",35,1,1.91004543972396e-06,6.25157872421652e-05
"HPGDS",35,1,1.94649072709704e-06,6.33916830824738e-05
"ASB12",36,0,1.96500039576762e-06,6.36776860925487e-05
"IKZF2",36,0,2.10787865779716e-06,6.77810035328958e-05
"SRSF12",35,1,2.11233191578227e-06,6.77810035328958e-05
"CPEB3",36,0,2.12954015192492e-06,6.7791424119832e-05
"TNFRSF25",34,2,2.13336898391161e-06,6.7791424119832e-05
"MYSM1",33,3,2.18853117603606e-06,6.9208333711749e-05
"RBM15B",35,1,2.23304559468683e-06,7.02765214558653e-05
"ITGAV",36,0,2.31544033329385e-06,7.25209206781892e-05
"TMEM141",36,0,2.33676456192932e-06,7.25370927236598e-05
"GPR110",36,0,2.34658089579906e-06,7.25370927236598e-05
"ADIPOR1",35,1,2.35015368481136e-06,7.25370927236598e-05
"MGP",35,1,2.3676924515824e-06,7.25370927236598e-05
"SCAF4",31,5,2.37136233468732e-06,7.25370927236598e-05
"H6PD",35,1,2.47799504362338e-06,7.54463049095751e-05
"TMEM81",33,3,2.51243212137713e-06,7.59723726795276e-05
"GRM7",33,3,2.51848531491865e-06,7.59723726795276e-05
"CPEB2",33,3,2.59818009463053e-06,7.80169123828048e-05
"ABCD4",36,0,2.70940071743289e-06,8.09851008964187e-05
"KCNH4",35,1,2.75667955680057e-06,8.20237471764388e-05
"UBA5",35,1,2.79304772574918e-06,8.27298208721906e-05
"TLK2",32,4,2.80786909044857e-06,8.27941939913349e-05
"KPNA6",36,0,2.92850357227004e-06,8.59555806911403e-05
"IGSF1",31,5,2.9413458714964e-06,8.59555806911403e-05
"HELQ",33,3,3.04628683430329e-06,8.86266382993304e-05
"PRKG2",33,3,3.34954728334485e-06,9.70183031715725e-05
"DUSP19",36,0,3.41437673116137e-06,9.84603968378076e-05
"ANKRD36C",33,3,3.43683465865192e-06,9.86733319102433e-05
"PHKG1",31,5,3.46875315099308e-06,9.91548389799157e-05
"RAB11A",36,0,3.54446478462011e-06,0.000100878549913579
"PMP22",35,1,3.57190089852803e-06,0.00010121932156608
"SEMA3D",27,9,3.59286777180512e-06,0.000101280193197377
"CHIC2",36,0,3.60499312786265e-06,0.000101280193197377
"TRIM17",35,1,3.63653084685392e-06,0.000101729619331221
"PRKAR2A",35,1,3.72980954359934e-06,0.000103895035201708
"CHEK1",34,2,3.77423624762208e-06,0.000104687078292094
"KEAP1",34,2,3.91761194723818e-06,0.00010776671369145
"CHRM1",32,4,3.9181909347029e-06,0.00010776671369145
"DPYD",28,8,4.04885881046153e-06,0.000110480668470957
"TTC9",36,0,4.05062029224406e-06,0.000110480668470957
"COBLL1",36,0,4.2215958756872e-06,0.000114559453625759
"LINGO1",35,1,4.23516464672071e-06,0.000114559453625759
"ORC5",34,2,4.26861647242764e-06,0.000114989149911569
"SATL1",36,0,4.28799205143018e-06,0.000115037688396156
"MBD4",35,1,4.42888861733822e-06,0.000118332673016718
"NFAT5",32,4,4.51608964794069e-06,0.000119306816958266
"NAA11",32,4,4.51845271386813e-06,0.000119306816958266
"RND1",35,1,4.52002606258018e-06,0.000119306816958266
"DDI2",34,2,4.65094244333259e-06,0.000122269354353635
"CABP1",35,1,4.78447428925398e-06,0.000125276674789826
"FGF18",36,0,4.853424557204e-06,0.000126575765543655
"OLIG3",36,0,4.91223413699782e-06,0.000127601129606301
"LILRA6",34,2,4.95162595353477e-06,0.00012811598218118
"SRR",34,2,5.12607683067334e-06,0.000132107476116487
"UBQLN1",36,0,5.32393500011554e-06,0.000136652654830363
"COL13A1",34,2,5.34419181738052e-06,0.000136652654830363
"DLC1",32,4,5.57424032984387e-06,0.000141980456027852
"PCDH9",33,3,5.62003520180526e-06,0.000142592055934175
"PRDM15",36,0,5.66407106683034e-06,0.000143154475689079
"LPP",34,2,6.05587600349751e-06,0.000152468324303441
"PRDM2",31,5,6.22834368397096e-06,0.000156209723200283
"PSCA",35,1,6.26995658696333e-06,0.000156653190146038
"SGK1",35,1,6.32421473175343e-06,0.000157252115191341
"KDM2A",32,4,6.34197348159395e-06,0.000157252115191341
"NAT8",36,0,6.45206166936448e-06,0.000159378096934566
"DNASE1",36,0,6.66986182220661e-06,0.000164138780030693
"RERGL",32,4,6.78299367851531e-06,0.000166297665241802
"CDK5",31,5,6.92233343052205e-06,0.000169080577000736
"IGF2BP3",29,7,6.97867766111864e-06,0.000169823137433764
"APRT",34,2,7.02319802446103e-06,0.000170273534326377
"USP33",34,2,7.09435748468314e-06,0.000171016407983256
"WNT5A",34,2,7.10608966872069e-06,0.000171016407983256
"BRSK2",35,1,7.19745636687592e-06,0.000172580766950805
