"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues"
"CLNK","CLNK",2,0.0230133387564668,381,"0.818334594741713",1
"BTNL3","BTNL3",2,0.0231419085505389,381,"0.131654992938832",1
"ADIPOR1","ADIPOR1",2,0.0231912253261698,381,"0.539430644778574",1
"GPR149","GPR149",8,0.0232068338567119,375,"0.173295553340535",1
"GABRG1","GABRG1",6,0.0235132448577631,377,"0.0525354946164799",1
"GLI2","GLI2",5,0.0236110738387139,378,"0.793759754284235",1
"MAP2K4","MAP2K4",5,0.0236475041234772,378,"0.431859855151562",1
"SERPINA6","SERPINA6",1,0.0239804712819216,382,"0.660599502876999",1
"KBTBD4","KBTBD4",3,0.0239888144271942,380,"0.783277140529354",1
"PRKX","PRKX",1,0.0242859546951854,382,"0.177131838525116",1
"LYN","LYN",1,0.0244386964018172,382,"0.755844739682202",1
"ARHGEF4","ARHGEF4",2,0.0245087919087242,381,"0.903818219266621",1
"HSD17B6","HSD17B6",1,0.024591438108449,382,"0.907760752959174",1
"OGFOD1","OGFOD1",1,0.024591438108449,382,"0.235198400115163",1
"DHX57","DHX57",4,0.0246102337901161,379,"0.212784058605147",1
"PHF10","PHF10",5,0.0247839335560737,378,"0.66456644489487",1
"EIF3I","EIF3I",1,0.0248205506683966,382,"0.211894028998556",1
"LRRC3B","LRRC3B",1,0.0252787757882922,382,"0.199258573516439",1
"ALPP","ALPP",1,0.0253551466416081,382,"0.622501342570999",1
"HECTD1","HECTD1",14,0.0255605749704946,369,"0.225279475347966",1
"ATF3","ATF3",1,0.0258133717615036,382,"0.731490918001172",1
"SLC7A14","SLC7A14",1,0.0258133717615036,382,"0.0598990556109988",1
"CD84","CD84",2,0.0258453928750789,381,"0.535645312001782",1
"ALB","ALB",4,0.0260023694599435,379,"0.759429565933711",1
"ZBTB24","ZBTB24",3,0.0260024566017604,380,"0.366300114213567",1
"ADM2","ADM2",1,0.0264243385880308,382,"0.665650472484954",1
"RFX3","RFX3",2,0.0265094122943798,381,"0.145492672582636",1
"ZEB2","ZEB2",6,0.0265204928491662,377,"0.130603200966589",1
"MATN3","MATN3",3,0.0265484904671873,380,"0.820094319468197",1
"FKBP2","FKBP2",3,0.0265933990909488,380,"0.631987597207991",1
"FGD3","FGD3",3,0.0268752258774431,380,"0.794289165767933",1
"ANO1","ANO1",7,0.0269137702728408,376,"0.526831025651174",1
"PDE10A","PDE10A",11,0.0271297383556401,372,"0.443891253406486",1
"ABCC2","ABCC2",7,0.0272464612052883,376,"0.881428561366728",1
"CHRNA5","CHRNA5",1,0.0273407888278219,382,"0.548705388760257",1
"SGCE","SGCE",3,0.0274908058776324,380,"0.942038524280366",1
"FOS","FOS",4,0.0278487833951457,379,"0.368253632906592",1
"MEOX2","MEOX2",2,0.0282970761187855,381,"0.26247073428568",1
"CES5A","CES5A",3,0.0284080684461588,380,"0.934519134149675",1
"DHRS7B","DHRS7B",1,0.0284099807742445,382,"0.840743922078261",1
"KCNH7","KCNH7",9,0.0285592790516933,374,"0.237071057521166",1
"SMPD2","SMPD2",3,0.0287261981289632,380,"0.397111850636673",1
"PMS1","PMS1",6,0.0288812545668348,377,"0.580737258572607",1
"ZNF239","ZNF239",2,0.028899804617969,381,"0.882338690973861",1
"MMP10","MMP10",2,0.0288998046179691,381,"0.998795559883646",1
"POMT1","POMT1",4,0.0289174655314052,379,"0.48406548284623",1
"FRMPD1","FRMPD1",6,0.0289836865684235,377,"0.823727457130365",1
"KIF5C","KIF5C",9,0.0291118024159149,374,"0.577651144307556",1
"BHMT2","BHMT2",1,0.0291736893074036,382,"0.285028611719419",1
"FAM132A","FAM132A",2,0.0291777139937313,381,"0.36514629503037",1
"C6","C6",10,0.0292314579943767,373,"0.24426203409598",1
"NOX4","NOX4",2,0.0295460028007145,381,"0.510527697132508",1
"C1QTNF1","C1QTNF1",1,0.0300137686938786,382,"0.993668455942964",1
