"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues"
"BRMS1L","BRMS1L",5,0.66263943035359,378,"0.3841721045178",1
"IHH","IHH",7,0.662737278803849,376,"0.402463242612952",1
"CDC34","CDC34",7,0.662958308655967,376,"0.938271218600151",1
"SEPT9","SEPT9",17,0.663154355707582,366,"0.621367525691557",1
"PLXND1","PLXND1",34,0.663210035011268,349,"0.934503676910283",1
"GKN1","GKN1",3,0.663234599440268,380,"0.690347019804969",1
"RAE1","RAE1",2,0.663372746961435,381,"0.911166990060783",1
"ASNS","ASNS",6,0.663413952848605,377,"0.840953363998051",1
"POLG2","POLG2",8,0.663549371946797,375,"0.43114030710766",1
"NTRK1","NTRK1",25,0.664223726478675,358,"0.316733069212487",1
"RPTOR","RPTOR",23,0.664233248998827,360,"0.293891651436065",1
"GATA2","GATA2",7,0.664724603613653,376,"0.286104662663364",1
"LIMS1","LIMS1",2,0.665172545631499,381,"0.774987359163479",1
"CCNG1","CCNG1",1,0.665359263898653,382,"0.527857507880277",1
"GJA1","GJA1",6,0.665393587679429,377,"0.112327960016371",1
"MAFB","MAFB",8,0.66578977468132,375,"0.409153831356091",1
"NEDD4L","NEDD4L",13,0.665821933474386,370,"0.837669839589272",1
"UBA6","UBA6",18,0.665874627781047,365,"0.459915387135502",1
"SEH1L","SEH1L",10,0.665935407948645,373,"0.818567765494168",1
"CYLD","CYLD",18,0.66603666449354,365,"0.256758392800311",1
"COPS3","COPS3",4,0.666304717465014,379,"0.539787274755106",1
"PCK1","PCK1",16,0.666422915328215,367,"0.818956733983643",1
"ASXL1","ASXL1",29,0.666630532426974,354,"0.796974947324257",1
"MED20","MED20",5,0.666915040743637,378,"0.601920343381155",1
"TSHR","TSHR",15,0.666931719889916,368,"0.220317759083385",1
"MTHFD2","MTHFD2",2,0.667415509834638,381,"0.45066119736428",1
"CORO1A","CORO1A",10,0.667539876155904,373,"0.50955337441436",1
"USF1","USF1",5,0.667561110586309,378,"0.734433879986809",1
"CNTNAP2","CNTNAP2",44,0.6677489135516,339,"0.77055364372035",1
"MB","MB",1,0.667869461453091,382,"0.0946838136527517",1
"IQCG","IQCG",6,0.668315425965623,377,"0.882756431007852",1
"CABLES1","CABLES1",8,0.668333479083377,375,"0.848621652944479",1
"SETDB2","SETDB2",10,0.66840259098611,373,"0.43149964908909",1
"PDE1A","PDE1A",7,0.668429780366956,376,"0.196971318863801",1
"SP100","SP100",13,0.668615867257219,370,"0.591508688150958",1
"MLLT10","MLLT10",11,0.668642669337978,372,"0.585951099856514",1
"GPI","GPI",11,0.669318327776572,372,"0.760348646647307",1
"SRPX","SRPX",6,0.669339721182704,377,"0.490102621342978",1
"CAPN1","CAPN1",13,0.669617289350097,370,"0.96177049481285",1
"REXO4","REXO4",3,0.669699101043451,380,"0.085800754860358",1
"FZD4","FZD4",11,0.669699984579494,372,"0.648821605737894",1
"LRRC3","LRRC3",6,0.669812066931458,377,"0.352332713155359",1
"MYEF2","MYEF2",15,0.669986764045761,368,"0.449697459137998",1
"ACOT12","ACOT12",7,0.670002481464378,376,"0.0601351848043256",1
"LYPD1","LYPD1",2,0.670097116814558,381,"0.0910582725939593",1
"ALPK3","ALPK3",35,0.670141277777682,348,"0.0613077231344215",1
"LTB4R2","LTB4R2",8,0.670493197687318,375,"0.832076969950585",1
"MAPK6","MAPK6",9,0.670505172772084,374,"0.691770252482488",1
"RAB30","RAB30",4,0.670594134360286,379,"0.841973407884424",1
"DRD1","DRD1",7,0.670769502793642,376,"0.702616352593933",1
"FFAR2","FFAR2",5,0.670784449288168,378,"0.955027326863643",1
"MXI1","MXI1",7,0.670879021212108,376,"0.282837107449963",1
"WHSC1","WHSC1",18,0.670952536620015,365,"0.0776792364110637",1
"BLM","BLM",20,0.67106424221824,363,"0.156560839627532",1
"ESCO2","ESCO2",6,0.671423970338986,377,"0.654247762847548",1
"ANKRA2","ANKRA2",4,0.671544485254181,379,"0.464406156461569",1
"ALKBH8","ALKBH8",9,0.671700776014071,374,"0.154275547862133",1
"RBM15","RBM15",13,0.67258746647725,370,"0.763399191066555",1
"SUSD3","SUSD3",3,0.67258981599496,380,"0.953605730907909",1
"PPP3CC","PPP3CC",5,0.672755588938061,378,"0.728396141908914",1
"KTN1","KTN1",15,0.672905176002762,368,"0.666382754079834",1
"PTPN1","PTPN1",7,0.673102840025346,376,"0.255974952948735",1
"DCAF12L2","DCAF12L2",18,0.673479978047499,365,"0.114611548116718",1
"PCSK7","PCSK7",18,0.673686424538021,365,"0.228433256866725",1
"HERC3","HERC3",12,0.673902816350436,371,"0.209048103837084",1
"ABCG2","ABCG2",11,0.674295571680339,372,"0.872066067803254",1
"MSI1","MSI1",6,0.674364721883107,377,"0.555870764531433",1
"ATRNL1","ATRNL1",23,0.674503034312604,360,"0.0723697066194268",1
"PRKCH","PRKCH",7,0.674557899363449,376,"0.301913186882633",1
"GRB7","GRB7",6,0.674873410816145,377,"0.119916686917236",1
"ADAR","ADAR",22,0.675034775453154,361,"0.777918398592315",1
"PICALM","PICALM",12,0.675412725762849,371,"0.207979027194416",1
"PTGDR","PTGDR",8,0.67561329464926,375,"0.71165763579603",1
"MAGEA8","MAGEA8",3,0.675635290673085,380,"0.130884119536892",1
"IREB2","IREB2",10,0.675730852507311,373,"0.197624984839463",1
"CDX4","CDX4",9,0.67582375605214,374,"0.827215805254158",1
"ESR2","ESR2",8,0.676293591867197,375,"0.588356698068736",1
"TMEM68","TMEM68",6,0.676319520085785,377,"0.0611510021091653",1
"RARRES1","RARRES1",4,0.676327659774903,379,"0.389290867165839",1
"BUB3","BUB3",4,0.676422102329432,379,"0.931733477048929",1
"PPP2CB","PPP2CB",1,0.676968927587932,382,"0.836158984370181",1
