"","#wt","#mut","pvalue","p_adj"
"BHLHE22",10,1,0.933339729996979,1
"NOMO1",10,1,0.933361785328849,1
"ABHD13",9,2,0.933417199023197,1
"CHD8",11,0,0.933577903314236,1
"ANKRD32",11,0,0.933588371200065,1
"CD38",11,0,0.933619767413825,1
"HNF1A",11,0,0.933797468476658,1
"BCL2L2",11,0,0.933891400505477,1
"BTNL2",9,2,0.933927951935548,1
"LIN7A",11,0,0.93393311587041,1
"CAV1",11,0,0.934193388260844,1
"KCTD15",10,1,0.934250438043376,1
"KLF9",10,1,0.934348625515848,1
"GNG3",11,0,0.934659932263096,1
"WISP1",10,1,0.934740274937894,1
"TMEM171",11,0,0.934856167553965,1
"TLE4",10,1,0.934902943201406,1
"SMARCA5",11,0,0.935051958324877,1
"CTAGE1",11,0,0.935123979818114,1
"CYP4F8",11,0,0.935175386859531,1
"RGS5",11,0,0.935319163152565,1
"ATP8B1",11,0,0.935554844690946,1
"ILDR1",11,0,0.935585537922318,1
"MAGEB3",11,0,0.935697985392925,1
"KANK3",10,1,0.935711717593628,1
"HLA-G",10,1,0.935851132875845,1
"PGRMC1",11,0,0.935912246309561,1
"CRYZL1",9,2,0.936009547764102,1
"MTHFD2",11,0,0.936024262851541,1
"MAP3K19",11,0,0.936034438836602,1
"DHTKD1",11,0,0.93630872858718,1
"KIF17",11,0,0.936359425308523,1
"KCTD18",11,0,0.936379695456491,1
"RFC5",11,0,0.936470850748841,1
"KCTD13",11,0,0.93659223753575,1
"NEUROG1",11,0,0.936622556817395,1
"ELF3",11,0,0.936652865137211,1
"GJC1",11,0,0.936763901892656,1
"CNTD2",11,0,0.936905008457471,1
"NCAM1",11,0,0.936995593972013,1
"WDR41",11,0,0.937045876725889,1
"CLDN15",11,0,0.937156391904157,1
"IGF1R",8,3,0.937291706371332,1
"PRR7",11,0,0.937366967662082,1
"ARL2",11,0,0.937567018989864,1
"SPRR1A",10,1,0.937653372976098,1
"AP5M1",11,0,0.937696792632854,1
"UNK",9,2,0.937710008482504,1
"PCOLCE",10,1,0.937737232445995,1
"NIN",11,0,0.937975611002498,1
"SLITRK3",11,0,0.937975611002498,1
"KCNH4",11,0,0.938124588486154,1
"GPR1",11,0,0.93857976157192,1
"TMEM203",11,0,0.9385994939257,1
"TRIM29",9,2,0.938733527981665,1
"KLK10",11,0,0.938737485764189,1
"GRIN2B",9,2,0.938919244945544,1
"SOCS1",11,0,0.939394619258359,1
"FRMD4A",11,0,0.939414152539628,1
"ABCC3",8,3,0.939442307216322,1
"SPRY2",9,2,0.939549674816254,1
"UBE2U",11,0,0.93957024663978,1
"MT1DP",11,0,0.939589736893101,1
"GABRA1",11,0,0.939657915159536,1
"PPAT",10,1,0.939734627784255,1
