CELLLINE,PRIMARY_SITE,PATHOLOGIST_ANNOTATION,in CCLE,Source,RRID
ncih460,lung,Lung:NSCLC_Large_Cell,Y,,
ncih508,large_intestine,Colorectal:Carcinoma,Y,,
ncih522,lung,Lung:NSCLC_Adeno,Y,,
ncih661,lung,Lung:NSCLC_Large_Cell,Y,,
ncih716,large_intestine,Colorectal:Carcinoma,Y,,
ncih747,large_intestine,Colorectal:Carcinoma,Y,,
ncih838,lung,Lung:NSCLC_Adeno,Y,,
ncin87,stomach,Gastric:Carcinoma,Y,,
nihovcar3,ovary,Ovary:Carcinoma,Y,,
nugc3,stomach,Gastric:Carcinoma,Y,,
ocum1,stomach,Gastric:Carcinoma,Y,,
oe21,oesophagus,Oesophagus:Carcinoma,Y,,
omm1,eye,Eye:Melanoma,N,Leiden University Medical Center - M.J. Jager,CVCL_6939
osrc2,kidney,Kidney:Carcinoma,Y,,
oums23,large_intestine,Colorectal:Carcinoma,Y,,
ov90,ovary,Ovary:Carcinoma,Y,,
ovcar4,ovary,Ovary:Carcinoma,Y,,
ovcar8,ovary,Ovary:Carcinoma,Y,,
ovsaho,ovary,Ovary:Carcinoma,Y,,
panc0203,pancreas,Pancreas:Carcinoma,Y,,
panc0403,pancreas,Pancreas:Carcinoma,Y,,
panc0504,pancreas,Pancreas:Carcinoma,Y,,
panc1,pancreas,Pancreas:Carcinoma,Y,,
panc1005,pancreas,Pancreas:Carcinoma,Y,,
patu8902,pancreas,Pancreas:Carcinoma,Y,,
patu8988t,pancreas,Pancreas:Carcinoma,Y,,
pecapj34clonec12,upper_aerodigestive_tract,Upper_Aerodigestive_Tract:Carcinoma,Y,,
pecapj41cloned2,upper_aerodigestive_tract,Upper_Aerodigestive_Tract:Carcinoma,Y,,
pfeiffer,haematopoietic_and_lymphoid_tissue,Lymphoma:NH_B_cell,Y,,
pk1,pancreas,Pancreas:Carcinoma,Y,,
rcc4,kidney,Kidney:Carcinoma,N,University of Pennsylvania - Celeste Simon,CVCL_0498
rchacv,haematopoietic_and_lymphoid_tissue,Leukemia:ALL,Y,,
rd,soft_tissue,Soft_Tissue:Sarcoma_Rhabdoid,Y,,
reh,haematopoietic_and_lymphoid_tissue,Leukemia:ALL,Y,,
rerflcms,lung,Lung:NSCLC_Others,Y,,
rh30,soft_tissue,Soft_Tissue:Sarcoma_Rhabdoid,Y,,
rh41,soft_tissue,Soft_Tissue:Sarcoma_Rhabdoid,Y,,
rko,large_intestine,Colorectal:Carcinoma,Y,,
rl,haematopoietic_and_lymphoid_tissue,Lymphoma:NH_B_cell,Y,,
rmgi,ovary,Ovary:Carcinoma,Y,,
rmugs,ovary,Ovary:Carcinoma,Y,,
rpmi7951,skin,Skin:Melanoma,Y,,
rpmi8226,haematopoietic_and_lymphoid_tissue,Lymphoma:Multiple_Myeloma,Y,,
rt112,urinary_tract,Bladder:Carcinoma,Y,,
rvh421,skin,Skin:Melanoma,Y,,
saos2,bone,Bone:Sarcoma_Osteo,Y,,
sbc5,lung,Lung:SCLC,Y,,
scc25,upper_aerodigestive_tract,Upper_Aerodigestive_Tract:Carcinoma,Y,,
sem,haematopoietic_and_lymphoid_tissue,Leukemia:ALL,Y,,
sf268,central_nervous_system,CNS:Glioma_HighGrade,N,NCI-DTP ,CVCL_1689
sf295,central_nervous_system,CNS:Glioma_HighGrade,Y,,
sh4,skin,Skin:Melanoma,Y,,
shp77,lung,Lung:SCLC,Y,,
sjrh30,soft_tissue,Soft_Tissue:Sarcoma_Rhabdoid,Y,,
sjsa1,bone,Bone:Sarcoma_Osteo,Y,,
skco1,large_intestine,Colorectal:Carcinoma,Y,,
skes1,bone,Bone:Sarcoma_Ewing,Y,,
skhep1,liver,Liver:Carcinoma_Adeno,Y,,
skmel2,skin,Skin:Melanoma,Y,,
skmel28,skin,Skin:Melanoma,Y,,
skmel3,skin,Skin:Melanoma,Y,,
skmel30,skin,Skin:Melanoma,Y,,
skmel5,skin,Skin:Melanoma,Y,,
sknas,autonomic_ganglia,PNET:Neuroblastoma,Y,,
sknbe2,autonomic_ganglia,PNET:Neuroblastoma,Y,,
skndz,autonomic_ganglia,PNET:Neuroblastoma,Y,,
