"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues"
"IL10","IL10",10,0.837859100635904,373,"0.25254357048054",1
"PGLYRP2","PGLYRP2",5,0.838046395305208,378,"0.524247359080071",1
"CDC37","CDC37",7,0.838170319714221,376,"0.350941724214406",1
"TAAR1","TAAR1",4,0.838762239687142,379,"0.955750366222378",1
"MTMR2","MTMR2",12,0.838986241681748,371,"0.10880563383003",1
"PDE6A","PDE6A",7,0.839010813716545,376,"0.474597173496349",1
"HBB","HBB",6,0.839923840316241,377,"0.319555193873724",1
"WDR83","WDR83",8,0.840038618789115,375,"0.623768448566499",1
"ULK2","ULK2",17,0.840050450196499,366,"0.812980585825749",1
"SP1","SP1",7,0.840399295073366,376,"0.770430893090105",1
"SURF4","SURF4",4,0.840433672557509,379,"0.380384876381504",1
"TBC1D22B","TBC1D22B",5,0.840495927589117,378,"0.755398556531115",1
"TLR4","TLR4",5,0.840664743858979,378,"0.772455559797164",1
"TADA2A","TADA2A",11,0.840872935957718,372,"0.607952048134941",1
"SPEN","SPEN",4,0.840925538692202,379,"0.826565691575979",1
"SBDSP1","SBDSP1",10,0.840979657159353,373,"0.348531634994081",1
"KCNK13","KCNK13",11,0.841085539011147,372,"0.360377109662273",1
"ARHGEF1","ARHGEF1",5,0.841126189949437,378,"0.361065868801749",1
"COL15A1","COL15A1",4,0.841129277195901,379,"0.624619056024498",1
"SCNN1D","SCNN1D",12,0.841182991516578,371,"0.155335528500129",1
"ZNF652","ZNF652",18,0.841821095193223,365,"0.492457895412928",1
"TMEM67","TMEM67",22,0.841860745217139,361,"0.837976461780212",1
"LGALSL","LGALSL",3,0.842257266193163,380,"0.403701609650453",1
"TBL2","TBL2",8,0.842280412370306,375,"0.71828061008487",1
"SEPT9","SEPT9",20,0.8422872196501,363,"0.565850647394039",1
"FBXW2","FBXW2",2,0.842442588916848,381,"0.321072746579131",1
"HSPA1B","HSPA1B",16,0.842528628724414,367,"0.675160966323731",1
"MTMR11","MTMR11",29,0.842597323358897,354,"0.543951276200825",1
"KCTD4","KCTD4",4,0.842599011389713,379,"0.521272984556109",1
"CUX1","CUX1",21,0.842769712619543,362,"0.763464098023075",1
"CAV1","CAV1",22,0.843063798381965,361,"0.445764091092809",1
"KAT5","KAT5",16,0.843125224281097,367,"0.331078547924157",1
"C19orf80","C19orf80",6,0.843127580490402,377,"0.17602363538264",1
"HTR3B","HTR3B",5,0.843178123509598,378,"0.186644317883841",1
"NCBP2","NCBP2",45,0.843889070235839,338,"0.82474498810664",1
"GSTA1","GSTA1",6,0.844033982214101,377,"0.950397961656506",1
"GSTA3","GSTA3",6,0.844033982214101,377,"0.950397961656506",1
"GSTA7P","GSTA7P",6,0.844033982214101,377,"0.950397961656506",1
"FABP5","FABP5",24,0.844370160008598,359,"0.781626578158712",1
"ALKBH2","ALKBH2",5,0.844536931952792,378,"0.583148206237659",1
"GPR148","GPR148",1,0.844814402721342,382,"0.333211020473347",1
"PDE3A","PDE3A",15,0.844903736718875,368,"0.513602984650493",1
"PDGFD","PDGFD",8,0.845103253326025,375,"0.849321798742447",1
"ATP2A1","ATP2A1",6,0.845220263559983,377,"0.117198681624773",1
"ARHGAP42","ARHGAP42",15,0.84539669031937,368,"0.207332372662811",1
"GRM7","GRM7",4,0.845419521889817,379,"0.967305291557896",1
"GTF2H2B","GTF2H2B",13,0.845903530218567,370,"0.917469537182024",1
"ADAP2","ADAP2",3,0.846488803461102,380,"0.665944177565851",1
"NT5E","NT5E",4,0.846583116312435,379,"0.312622950094624",1
"SHC4","SHC4",4,0.846771309998802,379,"0.490786484332822",1
"RNF31","RNF31",3,0.846813911362112,380,"0.194274482231375",1
"PEX7","PEX7",5,0.846894645596432,378,"0.733086875217587",1
"HES1","HES1",37,0.847118029763295,346,"0.236008856502703",1
"EED","EED",11,0.84858086465726,372,"0.944587521842024",1
"PAPPA","PAPPA",7,0.848660191196403,376,"0.70497759679665",1
"CAMK1","CAMK1",5,0.848736010644727,378,"0.0596771137072952",1
"TNFAIP1","TNFAIP1",8,0.848754394159606,375,"0.619084068765573",1
"KLHL3","KLHL3",3,0.8487553806629,380,"0.377251111353542",1
"C8orf33","C8orf33",56,0.848773934669693,327,"0.563884603541712",1
"FOXG1","FOXG1",12,0.848793265283931,371,"0.903635578505269",1
"STRN3","STRN3",11,0.848880630993105,372,"0.293826960299675",1
"CHRM1","CHRM1",4,0.848932521081847,379,"0.746991239759083",1
"CORO7","CORO7",4,0.849174133272656,379,"0.304375399386554",1
"MAMSTR","MAMSTR",1,0.849396653920297,382,"0.815221060950433",1
"RGPD8","RGPD8",3,0.849402328571272,380,"0.852934980027039",1
"OSM","OSM",4,0.849639551810252,379,"0.0735841817102932",1
"SFMBT2","SFMBT2",3,0.849861765046601,380,"0.168240183863531",1
"ADCY7","ADCY7",9,0.850024331919381,374,"0.970965473446027",1
"ERCC1","ERCC1",5,0.850084692937915,378,"0.920621873018149",1
"ADSL","ADSL",2,0.850120399974857,381,"0.709118069889324",1
"STAP1","STAP1",4,0.85032059320229,379,"0.611464802961",1
"ATOH8","ATOH8",7,0.850336811442312,376,"0.76681264493681",1
"OR51E1","OR51E1",5,0.850362719213181,378,"0.754694768496451",1
"TNFRSF6B","TNFRSF6B",45,0.850406109234985,338,"0.298727358973587",1
"RTEL1-TNFRSF6B","RTEL1-TNFRSF6B",45,0.850406109234985,338,"0.298727358973587",1
"MAP1LC3B","MAP1LC3B",7,0.85044989437435,376,"0.377287204383157",1
"EBI3","EBI3",2,0.850454719318156,381,"0.105660876541828",1
"LOC554223","LOC554223",6,0.850639333144041,377,"0.818561990660749",1
"HMGA2","HMGA2",11,0.850797024519196,372,"0.203810338163266",1
"GPR151","GPR151",9,0.851274206325277,374,"0.697520174459916",1
"EPB41L5","EPB41L5",2,0.851705092326406,381,"0.326035000570088",1
"PAPL","PAPL",14,0.851922917909183,369,"0.0632793640123572",1
"ACADL","ACADL",3,0.852059220451599,380,"0.893409756207213",1
"PRKDC","PRKDC",13,0.852698773538633,370,"0.200833330495933",1
"E2F6","E2F6",4,0.852750726728119,379,"0.571644560006123",1
"VSIG10","VSIG10",4,0.853026045418256,379,"0.702868203888956",1
"FIGLA","FIGLA",2,0.853364090827275,381,"0.932378217022222",1
"HSDL2","HSDL2",7,0.853619468193793,376,"0.808011774386347",1
"MGP","MGP",16,0.853632531935787,367,"0.993528492521823",1
"RAD51D","RAD51D",4,0.853819649239916,379,"0.782487400754398",1
"MAPK7","MAPK7",19,0.854058029883655,364,"0.377978186298323",1
"TACR1","TACR1",2,0.854725739335526,381,"0.609220730692502",1
"PTPN1","PTPN1",34,0.854947777062033,349,"0.171077865805026",1
"KCNK18","KCNK18",3,0.8549672639198,380,"0.804104564242111",1
"KIAA1967","KIAA1967",5,0.85511667479814,378,"0.679763771027939",1
"SERPINB11","SERPINB11",1,0.855506322185569,382,"0.187642330358295",1
"MMP20","MMP20",19,0.855751384831063,364,"0.0682849482675237",1
"KCNK4","KCNK4",7,0.855847004140617,376,"0.239361293105043",1
"KAT7","KAT7",20,0.856095476061539,363,"0.699746711995971",1
"SLC6A19","SLC6A19",40,0.856846613087017,343,"0.666370142341505",1
"APAF1","APAF1",1,0.857110110105204,382,"0.817056693936261",1
"SMARCAD1","SMARCAD1",1,0.857339222665151,382,"0.328385886771357",1
"RCOR3","RCOR3",11,0.857380772278628,372,"0.161875111099995",1
"EMID1","EMID1",3,0.85739000176788,380,"0.452489050210349",1
"GRB14","GRB14",7,0.857586649350591,376,"0.0887873607335568",1
"PDE8A","PDE8A",7,0.8580828545727,376,"0.506872052940369",1
"RIPK4","RIPK4",5,0.858122319445931,378,"0.944436143037571",1
"CYP2S1","CYP2S1",6,0.858211477721619,377,"0.588538342239274",1
"BNIP3","BNIP3",4,0.858496400221543,379,"0.50494553960643",1
"NFATC1","NFATC1",3,0.858514658333389,380,"0.38683915408566",1
"LIME1","LIME1",46,0.858907235669196,337,"0.615002200885759",1
"XPC","XPC",4,0.859003664960715,379,"0.522092204090209",1
"CHRND","CHRND",1,0.859019381438101,382,"0.496457210385757",1
"LHX2","LHX2",3,0.859402298538886,380,"0.463780564533796",1
"PA2G4P4","PA2G4P4",25,0.859486988762172,358,"0.789991072972489",1
"MYSM1","MYSM1",10,0.859495384874993,373,"0.717313757409538",1
"TMEM139","TMEM139",20,0.859552598870268,363,"0.478890552534672",1
"REXO4","REXO4",4,0.859628703695718,379,"0.0749948077726373",1
"HOXD9","HOXD9",8,0.859747145052702,375,"0.718772009591051",1
"TBX1","TBX1",28,0.859921181294147,355,"0.762002432743267",1
