"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues"
"CABYR","CABYR",3,0.846027465686856,380,"0.0516961685249624",1
"BHMT2","BHMT2",11,0.846059216766963,372,"0.685511876440436",1
"SERGEF","SERGEF",9,0.846089489058715,374,"0.294740333991907",1
"CR1","CR1",41,0.846114710729738,342,"0.762442156986057",1
"KCNA3","KCNA3",16,0.846603852518943,367,"0.953571800088491",1
"INPPL1","INPPL1",15,0.846761214031159,368,"0.551548367956758",1
"KIAA0247","KIAA0247",6,0.847040134427534,377,"0.380554151820933",1
"SART3","SART3",19,0.847174969714519,364,"0.989678694466646",1
"MAP3K6","MAP3K6",22,0.847175629297302,361,"0.118292241738423",1
"RASGRF2","RASGRF2",16,0.847265168883864,367,"0.273815233281716",1
"PLXNA3","PLXNA3",33,0.847745235139355,350,"0.939907327138853",1
"BPTF","BPTF",35,0.847852104816515,348,"0.739767026157178",1
"KIF13A","KIF13A",25,0.847873294795566,358,"0.747707445568778",1
"KCTD14","KCTD14",6,0.848161160381739,377,"0.479459337902413",1
"RAB5A","RAB5A",4,0.848178336258151,379,"0.244142472811215",1
"GAS6","GAS6",12,0.848246020995433,371,"0.230192363881082",1
"TXNDC11","TXNDC11",13,0.848520894155174,370,"0.0677839852544665",1
"OSBPL2","OSBPL2",2,0.848569317449821,381,"0.710192278940514",1
"ZNF180","ZNF180",7,0.848996391588309,376,"0.252685634789376",1
"IL10","IL10",2,0.849492545098671,381,"0.281558369057203",1
"LIMS3L","LIMS3L",2,0.849743844526841,381,"0.229258051020279",1
"POU3F1","POU3F1",5,0.850156255563505,378,"0.195062986763092",1
"ACADVL","ACADVL",10,0.850254487694999,373,"0.511480381481485",1
"KCNMB2","KCNMB2",6,0.850334367287015,377,"0.785295883284401",1
"TLR9","TLR9",14,0.850489873086468,369,"0.759603802445416",1
"NCOA3","NCOA3",16,0.850732135728746,367,"0.325341272233498",1
"GTPBP8","GTPBP8",4,0.850753009264475,379,"0.611969242065732",1
"RGPD6","RGPD6",1,0.850771329279983,382,"0.859637759253704",1
"DSEL","DSEL",22,0.850841776881676,361,"0.671174753203147",1
"OR11L1","OR11L1",18,0.850952504608042,365,"0.19989339741701",1
